Código,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
64,1822,1100000000,333.2,2622983,2900,35.7,46,31.69,3287263,0.645,3.5,35.39,35.4,24.3,66.63,37°06'N,26.7,110,34.3941,16,9,6,65045.4,1096712737,664280,321.3
65,3280,245000000,127.9,1058423,3200,37.8,,20.86,1904569,0.718,3,20.42,57.3,49.1,56.08,06°04'N,28,0,45.4246,17,1,1,123984,243095431,846146,37.8
66,4360,68688433,41.7,191718,7000,42,,1,1648195,0.783,8.7,14.85,76.3,6.6,62.88,39°47'N,29.5,494,40.7953,9,1,0,183120,67040238,1456477,42
67,1951,26783383,61.3,167224,1500,29.5,46,0.48,438317,0.674,4.2,19.54,71.1,1.9,61.79,37°23'N,19.4,0,34.0834,4,1,0,57554.5,26345066,271093,29.5
68,14520,4062235,57.8,425888,29600,31.4,83,10.74,70273,0.955,7.2,3.55,63.9,11.4,28.43,55°26'N,36.9,1495,54.1489,1,0,0,455928,3991962,-355615,0
69,10866,6352117,305.8,401953,19800,39,95,3.72,20770,0.919,7.4,3.29,92.7,6.5,48.27,33°17'N,30.2,1106,97.8094,2,0,0,423774,6331347,-381183,0
70,13170,58133509,193,1886445,26700,35.9,96,17.07,301339,0.892,8.8,3.19,71.3,32.1,45.17,47°05'N,45.9,1296,53.1648,4,0,0,472803,57832170,-1585106,0
71,2115,17654843,54.8,61348,1400,41.5,,63.53,322463,0.538,5.29,59.09,52.2,8.9,79.85,06°49'N,18.3,0,93.5376,1,1,0,87772.5,17332380,261115,41.5
72,2899,2758124,250.9,13812,3900,,,8.67,10991,0.734,6,11.61,56.7,55.1,54.95,18°31'N,29.4,369,35.0597,0,0,0,0,2747133,-2821,0
73,14255,127000000,337.4,4975415,28200,32.9,81,7.39,377976,0.919,10.9,1.89,91.9,68.4,32.42,45°33'N,46.3,1425,43.4031,7,4,2,468989.5,126622024,-4597439,131.6
74,3185,5906760,64,43697,4300,,82,7.19,89342,0.729,8.1,12.81,91.6,1.1,63.55,33°22'N,22.1,335,45.331,1,0,0,0,5817418,45645,0
75,3661,15233244,5.6,169835,6300,27.8,,1.86,2724900,0.825,3.1,17.87,57.8,1.3,61.07,55°43'N,29.3,359,72.6362,3,0,0,101775.8,12508344,2555065,0
76,874,34707817,59.6,98842,1000,40.8,,72.27,580367,0.601,4.8,29.79,28.5,6.3,57.78,05°35'N,19,100,46.4893,2,0,0,35659.2,34127450,481525,0
77,32214,2418393,135.7,136196,19000,,100,0.03,17818,0.806,5.3,6.52,100,0.4,55.13,30°06'N,33.4,0,32.4571,1,0,0,0,2400575,-118378,0
78,1053,5213898,26.3,,1600,27.7,92,23.21,199951,0.697,6.2,23.34,37.1,6.9,57.99,43°16'N,25.3,186,46.4893,1,0,0,29168.1,5013947,199951,0
79,7971,2274735,35.2,33505,10200,35.1,83,41.25,64559,0.866,6,5,68.4,54.9,27.57,58°05'N,42.5,811,71.8484,0,0,0,279782.1,2210176,31054,0
80,7712,3874050,372.5,33383,4800,31.8,16,4.71,10452,0.744,8.2,6.82,89.1,14,74.29,34°43'N,28.5,758,52.1911,1,0,0,245241.6,3863598,-22931,0
81,1157,2022331,66.6,1844,3000,,48,38.42,30355,0.527,8.8,41.5,29.5,1.1,55.27,28°34'S,21.3,138,45.7535,0,0,0,0,1991976,28511,0
82,753,3042004,27.3,2950,1000,35.3,,87.21,11369,0.48,8.2,47.44,52.6,79.1,75.32,08°33'N,18.6,79,71.8484,1,0,0,26580.9,3030635,8419,0
83,6415,5900754,3.4,25418,6400,,22,2.63,1759540,0.724,6.1,11.49,81,0.1,47.45,33°10'N,27.2,0,52.1911,1,0,0,0,4141214,1734122,0
84,8267,3585906,55,55887,11400,38.4,94,33.5,65300,0.882,6.5,3.76,68.2,35.1,22.43,56°27'N,42.7,873,45.7535,0,0,0,317452.8,3520606,9413,0
85,26321,474413,183.5,73263,55100,31.7,97,16.03,2586,0.916,5.5,3.34,91.7,36.5,19.62,50°11'N,39.3,2615,44.7642,0,0,0,834375.7,471827,-70677,0
86,,2050554,80.9,,6700,,,,25713,0.774,6.1,7.37,58.8,39.7,66.38,42°21'N,37.4,357,90.0237,0,0,0,0,2024841,25713,0
87,398,18595469,31.7,13720,800,42.6,10,81.57,587041,0.528,5.5,37.83,39.2,21.4,72.73,11°57'S,18.7,47,46.0304,1,0,0,16954.8,18008428,573321,0
88,484,13013926,109.8,11961,600,44.7,24,73.22,118484,0.483,9.6,39.5,17.7,23.8,56.37,09°22'S,17.4,61,68.2734,1,0,0,21634.8,12895442,106523,0
89,7512,24385858,74,336664,9000,41.1,77,5.31,330803,0.81,3.9,11.44,77.7,58.2,51.9,07°15'N,27.7,850,64.376,2,1,0,308743.2,24055055,-5861,41.1
90,689,11716829,9.5,17393,900,,20,76.61,1240192,0.434,3.8,64.02,44.7,10.9,71.27,25°04'N,16,72,59.5608,1,0,0,0,10476637,1222799,0
91,14543,400214,1266.5,14647,17700,29.1,92,7.46,316,0.895,9.3,4.56,94.8,1.4,67.78,36°05'N,40.9,1376,55.2006,0,0,0,423201.3,399898,-14331,0
92,1760,3177388,3.1,7778,1800,32.6,,25.13,1030700,0.546,4.4,47.91,56.1,0.3,57.83,27°19'N,19.7,175,81.1213,1,0,0,57376,2146688,1022922,0
93,3832,1240827,608.3,10914,11400,38.5,,9.2,2040,0.804,5.7,9.04,40.8,19.1,46.03,10°25'S,35.6,414,56.8828,0,0,0,147532,1238787,-8874,0
94,3315,107000000,54.5,1076163,9000,46.3,57,9.63,1964375,0.779,5.5,10.65,81,33.8,48.89,32°43'N,27.5,411,61.2911,0,0,0,153484.5,105035625,888212,0
95,3133,4466706,132,11914,1800,26.3,,25.75,33846,0.75,7,11.06,43,11.8,54.03,48°28'N,35,0,41.067,0,0,0,82397.9,4432860,21932,0
96,,,,,,,,,13812,0.829,7.6,3.39,67.8,61.5,39.14,43°32'N,37.7,427,68.5204,0,0,0,0,-13812,13812,0
97,2716,33241259,74.4,112870,4000,39.5,39,10.83,446550,0.686,5.2,21.4,64.1,12.9,57.89,35°55'N,27.9,310,41.067,5,0,0,107282,32794709,333680,0
98,529,19686505,24.6,14021,1200,54,,65.94,801590,0.456,4.9,64.72,37.6,46.7,59.72,10°27'S,17.2,79,78.3757,2,0,0,28566,18884915,787569,0
99,,,,,,,,,676578,0.583,4.79,44.7,31.1,43.7,74.68,28°32'N,27.7,191,41.7755,2,0,0,0,-676578,676578,0
100,1962,2044147,2.5,10699,7200,59.1,,30.33,825615,0.646,8.6,31.38,53,8.1,38.43,16°56'S,21,335,59.4672,0,0,0,115954.2,1218532,814916,0
101,1155,28287147,192.2,,1400,,49,75.04,147181,0.602,5.6,25.1,21,41.6,69.98,30°26'N,42.1,119,47.9492,1,0,0,0,28139966,147181,0
